Label,Location,Manufacturer,Model,Firmware,Health,Inlet 1 L1 Current (A),Inlet 1 L2 Current (A),Inlet 1 L3 Current (A),Inlet 2 L1 Current (A),Inlet 2 L2 Current (A),Inlet 2 L3 Current (A),Inlet 3 L1 Current (A),Inlet 3 L2 Current (A),Inlet 3 L3 Current (A),Inlet 4 L1 Current (A),Inlet 4 L2 Current (A),Inlet 4 L3 Current (A),Active Power (W),Apparent Power (VA),Inlet Temperature (F),Belongs to
ETSR2-Z2E14-PDUB,,Raritan,PX3-5434R,3.1.0.5-42165,Good,3.629,,,,,,,,,,,,713.0,739.0,,Z2E14
ETSR2-Z2E03-PDUA,Unknown,Raritan,PX-5522,1.3.5-7832,Good,9.77,9.53,16.22,,,,,,,,,,3921.0,3921.0,,Z2E03
ETSR2-Z2E11-PDUB,Unknown,Raritan,PX-5522,1.3.5-8847,Good,2.82,6.19,4.34,,,,,,,,,,1410.0,1475.0,,Z2E11
ETSR2-Z2E04-PDUA,"San Jose, ETSR-2",Raritan,PX-5273,1.5.8-11272,Good,8.83,4.57,7.78,,,,,,,,,,2404.0,2404.0,,Z2E04
ETSR2-Z2D04-PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,2.3,1.0,2.0,,,,,,,,,,434.0,615.0,,Z2D04
ETSR2-Z2E04-PDUB,"San Jose, ETSR-2",Raritan,PX-5273,1.5.8-11272,Good,0.42,1.98,2.08,,,,,,,,,,388.0,485.0,,Z2E04
ETSR2-Z2D04-PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,2.6,2.6,0.7,,,,,,,,,,463.0,653.0,,Z2D04
ETSR2-Z2E07-PDUC,Unknown,Raritan,DPXR8A-20L6,1.4.0-9851,Good,3.55,,,,,,,,,,,,606.0,724.0,,Z2E07
ETSR2-Z2E08-PDUC,Unknown,Raritan,DPXR8A-20L6,1.4.0-9851,Good,7.4,,,,,,,,,,,,1410.0,1475.0,,Z2E08
ETSR2-Z2E07-PDUD,Unknown,Raritan,DPXR8A-20L6,1.4.0-9851,Good,8.83,,,,,,,,,,,,1761.0,1842.0,,Z2E07
