Label,Location,Manufacturer,Model,Firmware,Health,Inlet 1 L1 Current (A),Inlet 1 L2 Current (A),Inlet 1 L3 Current (A),Inlet 2 L1 Current (A),Inlet 2 L2 Current (A),Inlet 2 L3 Current (A),Inlet 3 L1 Current (A),Inlet 3 L2 Current (A),Inlet 3 L3 Current (A),Inlet 4 L1 Current (A),Inlet 4 L2 Current (A),Inlet 4 L3 Current (A),Active Power (W),Apparent Power (VA),Inlet Temperature (F),Belongs to
ETSR2-Z1C02-PDUA,Unknown,Raritan,PX-5522,1.3.5-8847,Good,6.35,5.19,6.68,,,,,,,,,,2013.0,2104.0,,Z1C02
ETSR2-Z1C02-PDUB,Unknown,Raritan,PX-5522,1.3.5-8847,Good,6.35,5.06,6.04,,,,,,,,,,1925.0,2104.0,,Z1C02
ETSR2-Z1D01-PDUA,Unknown,Raritan,PX-5522,1.4.0-9851,Good,7.98,8.83,7.4,,,,,,,,,,2872.0,2872.0,,Z1D01
ETSR2-Z1E03-PDUB,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,4.93,6.68,2.75,,,,,,,,,,1612.0,1612.0,,Z1E03
ETSR2-Z1D04-PDUA,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,5.19,4.93,6.04,,,,,,,,,,1842.0,1925.0,,Z1D04
ETSR2-Z1F10-PDUA,,Raritan,PX2-5522-E2N1,2.4.1.5-39763,Good,4.9,4.6,5.2,,,,,,,,,,1627.0,1751.0,,Z1F10
ETSR2-Z1F02-PDUB,,Raritan,PX3-1902R,3.1.0.5-42165,Good,11.0,6.284,10.079,,,,,,,,,,3127.0,3237.0,,Z1F02
ETSR2-Z1D04-PDUB,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,5.19,4.93,5.89,,,,,,,,,,1842.0,1925.0,,Z1D04
ETSR2-Z1E04-PDUA,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1E04
ETSR2-Z1D01-PDUB,Unknown,Raritan,PX-5522,1.4.0-9851,Good,5.74,4.93,5.6,,,,,,,,,,1925.0,1925.0,,Z1D01
ETSR2-Z1F01-PDUB,Unknown,Raritan,PX-5522,1.4.1-10051,Good,1.62,1.62,0.0,,,,,,,,,,284.0,340.0,,Z1F01
ETSR2-Z1E02-PDUA,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,5.46,7.98,6.85,,,,,,,,,,2200.0,2404.0,,Z1E02
ETSR2-Z1E04-PDUB,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1E04
ETSR2-Z1E02-PDUB,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,7.58,7.21,6.85,,,,,,,,,,2514.0,2628.0,,Z1E02
ETSR2-Z1E03-PDUA,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,5.32,7.03,2.69,,,,,,,,,,1612.0,1685.0,,Z1E03
ETSR2-Z1F03-PDUA,,Raritan,PX3-1902R,3.1.0.5-42165,Good,11.518,14.571,19.138,,,,,,,,,,5121.0,5334.0,,Z1F03
ETSR2-Z1E05-PDUA,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,5.6,5.19,5.89,,,,,,,,,,1842.0,2013.0,,Z1E05
ETSR2-Z1F02-PDUA,,Raritan,PX3-1902R,3.1.0.5-42165,Good,3.619,4.932,3.251,,,,,,,,,,1302.0,1398.0,,Z1F02
ETSR2-Z1F03-PDUB,,Raritan,PX3-1902R,3.1.0.5-42165,Good,13.027,19.871,14.777,,,,,,,,,,5413.0,5622.0,,Z1F03
ETSR2-Z1F01-PDUA,Unknown,Raritan,PX-5522,1.4.0-9851,Good,1.79,1.79,0.0,,,,,,,,,,325.0,371.0,,Z1F01
ETSR2-Z1F10-PDUB,,Raritan,PX2-5522-E2N1,2.4.1.5-39763,Good,5.2,5.0,5.3,,,,,,,,,,1696.0,1845.0,,Z1F10
ETSR2-Z1F06-PDUA,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,0.3,0.3,0.0,,,,,,,,,,30.0,68.0,,Z1F06
seamsrpducab322,Unknown,Raritan,DPXR20-20L,1.3.5-7832,Good,1.39,,,,,,,,,,,,152.0,167.0,,3-2
ETSR2-Z1F06-PDUB,,Raritan,PX2-5522-E2N1,2.4.3.5-40298,Good,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,Z1F06
ETSR2-Z1F07-PDUA,Unknown,Raritan,PX-5522,1.3.5-8847,Good,2.97,5.32,3.13,,,,,,,,,,1234.0,1234.0,,Z1F07
ETSR2-Z1F07-PDUB,Unknown,Raritan,PX-5522,1.3.5-8847,Good,1.88,2.82,1.32,,,,,,,,,,554.0,662.0,,Z1F07
ETSR2-Z1F08-PDUA,Unknown,Raritan,PX-5522,1.3.5-8847,Good,0.3,0.3,0.52,,,,,,,,,,122.0,122.0,,Z1F08
ETSR2-Z1F08-PDUB,Unknown,Raritan,PX-5522,1.3.5-8847,Good,0.33,0.38,0.62,,,,,,,,,,139.0,146.0,,Z1F08
ETSR2-Z2A11-PDUB,Unknown,Raritan,PX-5273,1.3.16-9291,Good,6.35,4.57,7.4,,,,,,,,,,2013.0,2104.0,,Z2A11
ETSR2-Z2A11-PDUA,Unknown,Raritan,PX-5273,1.3.16-9291,Good,6.52,5.89,6.04,,,,,,,,,,2104.0,2200.0,,Z2A11
ETSR2-Z1F09-PDUA,Unknown,Raritan,PX-5522,1.3.5-8847,Good,5.46,5.06,5.89,,,,,,,,,,1761.0,1925.0,,Z1F09
ETSR2-Z1F09-PDUB,Unknown,Raritan,PX-5522,1.3.5-8847,Good,5.89,5.46,6.04,,,,,,,,,,1925.0,2013.0,,Z1F09
ETSR2-Z2A08-PDUA,"San Jose, ETSR-1",Raritan,PX-5522,1.5.8-11272,Good,6.68,8.39,7.21,,,,,,,,,,2514.0,2628.0,,Z2A08
ETSR2-Z2A09-PDUA,"San Jose, ETSR-2",Raritan,PX-5522,1.4.1-10051,Good,5.89,6.04,5.46,,,,,,,,,,1925.0,2104.0,,Z2A09
ETSR2-Z2E05-PDUA,Unknown,Raritan,PX-5522,1.5.8-11272,Good,5.06,5.06,0.0,,,,,,,,,,1033.0,1033.0,,Z2E05
ETSR2-Z2A12-PDUB,Unknown,Raritan,PX-5273,1.3.16-9291,Good,7.4,5.32,7.78,,,,,,,,,,2300.0,2404.0,,Z2A12
ETSR2-Z2A09-PDUB,Unknown,Raritan,PX-5522,1.3.5-8847,Good,6.68,7.03,5.74,,,,,,,,,,2104.0,2300.0,,Z2A09
ETSR2-Z2A14-PDUA,Unknown,Raritan,PX-5273,1.3.16-9291,Good,5.89,6.19,8.83,,,,,,,,,,2300.0,2404.0,,Z2A14
ETSR2-Z2A12-PDUA,Unknown,Raritan,PX-5273,1.3.16-9291,Good,7.4,5.6,7.78,,,,,,,,,,2300.0,2404.0,,Z2A12
PDU-BUC-6,Bucharest,APC,AP7952,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,CAB C
pdu-mun06-d,"DE-Munich Uptown, IDC 6.2 (6??), Rack 02",APC,AP7921,v3.7.4,Good,1.1,,,,,,,,,,,,228.0,228.0,,Rack 2
pdu-mun04-b,"DE-Munich Uptown, IDC 4 (4??), Rack 02",APC,AP7921,v3.7.4,Good,2.0,,,,,,,,,,,,416.0,416.0,,Rack 2
PDU-BUC-2,Bucharest,APC,AP7952,v3.7.4,Good,3.3,,,,,,,,,,,,408.0,408.0,,Cab A
PDU-BUC-7,Bucharest,APC,AP7952,v3.7.4,Good,1.5,,,,,,,,,,,,180.0,180.0,,CAB D
pdu-mun05-g,"DE-Munich Uptown, MDC (524), Rack 04",APC,AP7921,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,Rack 4
PDU-BUC-3,Bucharest,APC,AP7952,v3.7.4,Good,1.7,,,,,,,,,,,,204.0,204.0,,Cab B
PDU-AMS,Amsterdam,APC,AP7921,v3.7.4,Good,2.0,,,,,,,,,,,,416.0,416.0,,Cab 1
paris-pdu-3,Paris,APC,AP7921,v3.7.4,Critical,,,,,,,,,,,,,,,,Rack 2
ham-pdu-9,"Hamburg, Germany",APC,AP7951,v3.7.4,Good,1.6,,,,,,,,,,,,368.0,368.0,,1st fl 
ups-tokyo-19b,Tokyo 19B,APC,Symmetra LX 16000 RM,269.514.S,Good,,,,,,,,,,,,,,,32.0,19b
ups-tokyo-19a,Tokyo 19A,APC,Symmetra LX 16000,269.514.S,Good,,,,,,,,,,,,,,,33.1,ServerRack1
pdu-mun05-f,"DE-Munich Uptown, MDC (524), Rack 03",APC,AP7921,v3.7.4,Good,3.1,,,,,,,,,,,,644.0,644.0,,Rack 3
ups-tokyo-20idc,Tokyo 20IDC,APC,Symmetra LX 8000 RM,229.514.S,Good,,,,,,,,,,,,,,,,ServerRack1
Dublin Riverwalk PDU 1 - Cabinet B,Dublin Riverwalk,APC,AP7952,v3.7.4,Good,2.7,,,,,,,,,,,,324.0,324.0,,Cabinet 1
PDU-BUC-4,Bucharest,APC,AP7952,v3.7.4,Good,1.8,,,,,,,,,,,,216.0,216.0,,Cab B
ham-pdu-5,"Hamburg, Germany",APC,AP7951,v3.7.4,Good,4.4,,,,,,,,,,,,1035.0,1035.0,,1st fl 
PDU-BUC-8,Bucharest,APC,AP7952,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,CAB D
pdu-mun05-a,"DE-Munich Uptown, MDC (524), Cabinet 01",APC,AP7951,v3.7.4,Good,4.1,,,,,,,,,,,,943.0,943.0,,Cab 1
pdu-mun05-c,"DE-Munich Uptown, MDC (524), Cabinet 03",APC,AP7951,v3.7.4,Good,1.2,,,,,,,,,,,,276.0,276.0,,Cab 3
pdu-mun06-a,"DE-Munich Uptown, IDC 6.1 (6??), Rack 01",APC,AP7921,v3.7.4,Good,1.1,,,,,,,,,,,,228.0,228.0,,Rack 1
pdu-mun05-d,"DE-Munich Uptown, MDC (524), Rack 01",APC,AP7921,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,Rack 1
PDU-BUC-1,Bucharest,APC,AP7952,v3.7.4,Good,6.0,,,,,,,,,,,,708.0,708.0,,Cab A
pdu-mun05-h,"DE-Munich Uptown, MDC (524), Rack 05",APC,AP7921,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,Rack 5
ham-pdu-8,"Hamburg, Germany",APC,AP7951,v3.7.4,Good,6.4,,,,,,,,,,,,1472.0,1472.0,,1st fl 
pdu-mun04-a,"DE-Munich Uptown, IDC 4 (4??), Rack 01",APC,AP7921,v3.7.4,Good,1.5,,,,,,,,,,,,312.0,312.0,,Rack 1
ham-pdu-7,"Hamburg, Germany",APC,AP7951,v3.7.4,Good,4.5,,,,,,,,,,,,1035.0,1035.0,,1st fl 
pdu-mun06-c,"DE-Munich Uptown, IDC 6.2 (6??), Rack 01",APC,AP7921,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,Rack 1
RackPDU,Unknown,APC,AP7921,v3.7.4,Critical,,,,,,,,,,,,,,,,""
Zurich PDU,"Zurich , Switzerland",APC,AP7920,v3.7.4,Good,1.2,,,,,,,,,,,,249.0,249.0,,Cab 1
RackPDU,Unknown,APC,AP7830,v3.7.4,Good,5.6,,,,,,,,,,,,672.0,672.0,,Minnesota
PDU-BUC-5,Bucharest,APC,AP7952,v3.7.4,Good,1.1,,,,,,,,,,,,132.0,132.0,,CAB C
paris-pdu-2,Paris,APC,AP7952,v3.7.4,Critical,,,,,,,,,,,,,,,,Rack 1
RackPDU,Singapore,APC,AP7921,v3.7.4,Good,1.2,,,,,,,,,,,,249.0,249.0,,Rack 1
Dublin MDC - Cabinet PDU 2,"Dublin, Ireland",APC,AP7952,v3.7.4,Good,4.3,,,,,,,,,,,,516.0,516.0,,Cabinet 2
Seoul PDU 1,"Seoul, Korea",APC,AP7921,v3.7.4,Critical,,,,,,,,,,,,,,,,Cab 1
Edinburgh-pdu-1,Edinburgh MDC Cab 2,APC,AP7951,v3.7.4,Good,2.5,,,,,,,,,,,,300.0,300.0,,Cabinet 1
ham-pdu-10,"Hamburg, Germany",APC,AP7951,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,1st fl 
pdu-mun05-e,"DE-Munich Uptown, MDC (524), Rack 02",APC,AP7921,v3.7.4,Good,3.7,,,,,,,,,,,,769.0,769.0,,Rack 2
ham-pdu-4,"Hamburg, Germany",APC,AP7952,v3.7.4,Critical,3.4,,,,,,,,,,,,408.0,408.0,,1st fl 
pdu-mun06-b,"DE-Munich Uptown, IDC 6.1 (6??), Rack 02",APC,AP7921,v3.7.4,Good,0.0,,,,,,,,,,,,0.0,0.0,,Rack 2
